product_id,product_name,brand
PROD001,Wireless Noise Cancelling Headphones,TechSound
PROD002,Bluetooth Speaker,AudioMax
PROD003,Designer Leather Jacket,FashionHub
PROD004,Garden Tool Set,GreenLife
PROD005,Python Programming Guide,BookMaster
PROD006,4K Smart TV 55 inch,VisionTech
PROD007,Casual Cotton T-Shirt,StyleWear
PROD008,Gaming Laptop,TechPro
PROD009,Data Science Handbook,LearnPress
PROD010,Indoor Plant Pot Set,HomeDecor
PROD011,Tennis Racket Pro,SportMax
PROD012,Digital Camera DSLR,PhotoShot
PROD013,Summer Dress Collection,TrendyStyle
PROD014,Classic Literature Box Set,BookWorld
PROD015,Tablet 10 inch,TechWave
PROD016,Running Shoes Elite,ActiveFit
PROD017,Kitchen Blender,CookMaster
PROD018,Evening Gown,ElegantWear
PROD019,Smartphone 5G Pro,MobileTech
PROD020,Fantasy Novel Series,PageTurner
PROD021,Yoga Mat Premium,FitLife
PROD022,Smartwatch Fitness Tracker,WearTech
PROD023,Winter Coat,WarmStyle
PROD024,Outdoor Furniture Set,GardenComfort
PROD025,Biography Collection,ReadMore
PROD026,Wireless Earbuds Pro,AudioElite
PROD027,Denim Jeans Classic,DenimCo
PROD028,Basketball Premium,SportsGear
PROD029,Laptop Stand Adjustable,WorkSmart
PROD030,Cookbook Mediterranean,ChefBooks
PROD031,Wall Art Canvas Set,HomeArt
PROD032,Gaming Console Next Gen,GameZone
PROD033,Formal Suit Navy,BusinessWear
PROD034,Golf Club Set,ProGolf
PROD035,Self-Help Book Bundle,MindGrow
PROD036,Mechanical Keyboard RGB,TypeMaster
PROD037,Bathroom Organizer,HomeEssentials
PROD038,Cocktail Dress,PartyStyle
PROD039,Wireless Mouse,ComputerPlus
PROD040,Dumbbells Adjustable,FitGear
PROD041,Thriller Novels Collection,Mystery House
PROD042,Portable SSD 2TB,DataStore
PROD043,Sweater Wool,CozyWear
PROD044,Patio Heater,OutdoorLiving
PROD045,Cycling Shoes Professional,BikeElite
PROD046,Gaming Monitor 27 inch,DisplayMax
PROD047,Scarf Silk Collection,AccessoryHub
PROD048,Travel Guide Series,ExploreBooks
PROD049,Lawn Mower Electric,YardCare
PROD050,Webcam HD,VideoTech
PROD051,Skateboard Pro,ExtremeSports
PROD052,Handbag Designer,LuxuryBags
PROD053,History Book Collection,TimelessReads
PROD054,Wireless Charger,ChargeFast
PROD055,Window Curtains Set,HomeTextiles
PROD056,External Hard Drive 5TB,StoragePro
PROD057,Athletic Shorts,ActiveWear
PROD058,Mountain Bike,TrailRider
PROD059,USB-C Hub,ConnectMore
PROD060,Science Fiction Series,FutureTales
PROD061,BBQ Grill Gas,CookOut
PROD062,VR Headset,VirtualWorld
PROD063,Sandals Leather,SummerShoes
PROD064,Fishing Rod Professional,AnglerPro
PROD065,Romance Novels Bundle,LoveStories
PROD066,Graphics Tablet,DesignStudio
PROD067,Towel Set Cotton,BathLuxury
PROD068,Business Shirt,OfficeWear
PROD069,Mouse Pad XXL,GamingDesk
PROD070,Weight Bench,StrengthGym
PROD071,Children's Books Set,KidsRead
PROD072,Drone with Camera 4K,SkyView
PROD073,Hoodie Fleece,CasualComfort
PROD074,Garden Hose,WaterWorks
PROD075,Soccer Ball Official,TeamSports
PROD076,Laptop Gaming Elite,PowerBook
PROD077,Belt Leather,AccessoryPro
PROD078,Graphic Novel Collection,ComicWorld
PROD079,Watering System Auto,SmartGarden
PROD080,Printer Wireless,PrintPro
PROD081,Baseball Glove,DiamondGear
PROD082,Blouse Silk,ElegantTop
PROD083,Poetry Collection,VerseMaster
PROD084,Monitor Stand,DeskOrganize
PROD085,Decorative Pillows,HomeSoft
PROD086,All-in-One Desktop,WorkStation
PROD087,Cardigan Knit,LayerStyle
PROD088,Kayak Inflatable,WaterAdventure
PROD089,Webcam Ring Light,StreamPro
PROD090,Comics Bundle,SuperHeroes
PROD091,Fire Pit Outdoor,BackyardFire
PROD092,Projector Home Cinema,MovieNight
PROD093,Activewear Leggings,GymStyle
PROD094,Camping Tent 4 Person,OutdoorCamp
PROD095,Art Books Collection,CreativeReads
PROD096,Router WiFi 6,NetSpeed
PROD097,Shelving Unit,StorageSolutions
PROD098,Blazer Professional,CareerWear
PROD099,Keyboard Wireless,TypeFree
PROD100,Resistance Bands Set,HomeFitness
